	Forte no.	Prime form	Interval vector	Carter no.	Audio	Possible spacings	Complement
0	0-1	[]	<0,0,0,0,0,0>			Empty set	12-1
1	1-1	[0]	<0,0,0,0,0,0>		Playⓘ	Unison, octave	11-1
2	2-1	[0,1]	<1,0,0,0,0,0>	1.0	Playⓘ	Minor second, major seventh	10-1
3	2-2	[0,2]	<0,1,0,0,0,0>	2.0	Playⓘ	Major second, minor seventh	10-2
4	2-3	[0,3]	<0,0,1,0,0,0>	3.0	Playⓘ	Minor third, major sixth	10-3
5	2-4	[0,4]	<0,0,0,1,0,0>	4.0	Playⓘ	Major third, minor sixth	10-4
6	2-5	[0,5]	<0,0,0,0,1,0>	5.0	Playⓘ	Perfect fourth, perfect fifth	10-5
7	2-6	[0,6]	<0,0,0,0,0,1>	6.0	Playⓘ	Augmented fourth, diminished fifth, tritone	10-6
8	3-1	[0,1,2]	<2,1,0,0,0,0>	4.0	Playⓘ	...	9-1
9	3-2A	[0,1,3]	<1,1,1,0,0,0>	12.0	Playⓘ	...	9-2B
10	3-2B	[0,2,3]	<1,1,1,0,0,0>	12.0	Playⓘ	...	9-2A
11	3-3A	[0,1,4]	<1,0,1,1,0,0>	11.0	Playⓘ	...	9-3B
12	3-3B	[0,3,4]	<1,0,1,1,0,0>	11.0	Playⓘ	...	9-3A
13	3-4A	[0,1,5]	<1,0,0,1,1,0>	9.0	Playⓘ	...	9-4B
14	3-4B	[0,4,5]	<1,0,0,1,1,0>	9.0	Playⓘ	...	9-4A
15	3-5A	[0,1,6]	<1,0,0,0,1,1>	7.0	Playⓘ	Viennese trichord	9-5B
16	3-5B	[0,5,6]	<1,0,0,0,1,1>	7.0	Playⓘ	Viennese trichord	9-5A
17	3-6	[0,2,4]	<0,2,0,1,0,0>	3.0	Playⓘ	...	9-6
18	3-7A	[0,2,5]	<0,1,1,0,1,0>	10.0	Playⓘ	...	9-7B
19	3-7B	[0,3,5]	<0,1,1,0,1,0>	10.0	Playⓘ	Blues trichord (minor pentatonic subset)[8]	9-7A
20	3-8A	[0,2,6]	<0,1,0,1,0,1>	8.0	Playⓘ	Italian sixth chord	9-8B
21	3-8B	[0,4,6]	<0,1,0,1,0,1>	8.0	Playⓘ	...	9-8A
22	3-9	[0,2,7]	<0,1,0,0,2,0>	5.0	Playⓘ	Suspended chord	9-9
23	3-10	[0,3,6]	<0,0,2,0,0,1>	2.0	Playⓘ	Diminished chord	9-10
24	3-11A	[0,3,7]	<0,0,1,1,1,0>	6.0	Playⓘ	Minor chord, Neapolitan chord	9-11B
25	3-11B	[0,4,7]	<0,0,1,1,1,0>	6.0	Playⓘ	Major chord	9-11A
26	3-12	[0,4,8]	<0,0,0,3,0,0>	1.0	Playⓘ	Augmented chord	9-12
27	4-1	[0,1,2,3]	<3,2,1,0,0,0>	1.0	Playⓘ	BACH motif	8-1
28	4-2A	[0,1,2,4]	<2,2,1,1,0,0>	17.0	Playⓘ	...	8-2B
29	4-2B	[0,2,3,4]	<2,2,1,1,0,0>	17.0	Playⓘ	...	8-2A
30	4-3	[0,1,3,4]	<2,1,2,1,0,0>	9.0	Playⓘ	DSCH motif	8-3
31	4-4A	[0,1,2,5]	<2,1,1,1,1,0>	20.0	Playⓘ	...	8-4B
32	4-4B	[0,3,4,5]	<2,1,1,1,1,0>	20.0	Playⓘ	Chromatic tetrachord	8-4A
33	4-5A	[0,1,2,6]	<2,1,0,1,1,1>	22.0	Playⓘ	...	8-5B
34	4-5B	[0,4,5,6]	<2,1,0,1,1,1>	22.0	Playⓘ	...	8-5A
35	4-6	[0,1,2,7]	<2,1,0,0,2,1>	6.0	Playⓘ	Dream chord	8-6
36	4-7	[0,1,4,5]	<2,0,1,2,1,0>	8.0	Playⓘ	...	8-7
37	4-8	[0,1,5,6]	<2,0,0,1,2,1>	10.0	Playⓘ	...	8-8
38	4-9	[0,1,6,7]	<2,0,0,0,2,2>	2.0	Playⓘ	Distance model	8-9
39	4-10	[0,2,3,5]	<1,2,2,0,1,0>	3.0	Playⓘ	...	8-10
40	4-11A	[0,1,3,5]	<1,2,1,1,1,0>	26.0	Playⓘ	...	8-11B
41	4-11B	[0,2,4,5]	<1,2,1,1,1,0>	26.0	Playⓘ	Diatonic tetrachord	8-11A
42	4-12A	[0,2,3,6]	<1,1,2,1,0,1>	28.0	Playⓘ	...	8-12A
43	4-12B	[0,3,4,6]	<1,1,2,1,0,1>	28.0	Playⓘ	...	8-12B
44	4-13A	[0,1,3,6]	<1,1,2,0,1,1>	7.0	Playⓘ	...	8-13B
45	4-13B	[0,3,5,6]	<1,1,2,0,1,1>	7.0	Playⓘ	...	8-13A
46	4-14A	[0,2,3,7]	<1,1,1,1,2,0>	25.0	Playⓘ	...	8-14A
47	4-14B	[0,4,5,7]	<1,1,1,1,2,0>	25.0	Playⓘ	...	8-14B
48	4-Z15A	[0,1,4,6]	<1,1,1,1,1,1>	18.0	Playⓘ	All-interval tetrachord	8-Z15B
49	4-Z15B	[0,2,5,6]	<1,1,1,1,1,1>	18.0	Playⓘ	All-interval tetrachord	8-Z15A
50	4-16A	[0,1,5,7]	<1,1,0,1,2,1>	19.0	Playⓘ	Major seventh flat five chord	8-16B
51	4-16B	[0,2,6,7]	<1,1,0,1,2,1>	19.0	Playⓘ	...	8-16A
52	4-17	[0,3,4,7]	<1,0,2,2,1,0>	13.0	Playⓘ	Alpha chord	8-17
53	4-18A	[0,1,4,7]	<1,0,2,1,1,1>	21.0	Playⓘ	Diminished major seventh chord	8-18B
54	4-18B	[0,3,6,7]	<1,0,2,1,1,1>	21.0	Playⓘ	...	8-18A
55	4-19A	[0,1,4,8]	<1,0,1,3,1,0>	24.0	Playⓘ	Minor major seventh chord	8-19B
56	4-19B	[0,3,4,8]	<1,0,1,3,1,0>	24.0	Playⓘ	Augmented major seventh chord	8-19A
57	4-20	[0,1,5,8]	<1,0,1,2,2,0>	15.0	Playⓘ	Major seventh chord, minor flat sixth chord	8-20
58	4-21	[0,2,4,6]	<0,3,0,2,0,1>	11.0	Playⓘ	...	8-21
59	4-22A	[0,2,4,7]	<0,2,1,1,2,0>	27.0	Playⓘ	Mu chord	8-22B
