frequency,duration,pcid
49649485,23537891000.0,72
27524577,11864851000.0,68
17817583,5810193400.0,132
16776728,5133423600.0,272
14238724,6230138400.0,74
12417724,4717151000.0,584
12400876,3529236200.0,264
10555227,2862624500.0,144
10148903,2671199000.0,80
10051211,4417789400.0,580
9453333,2718190800.0,66
9008558,2061446300.0,576
8116480,2603744300.0,328
7966397,2985794800.0,70
7410315,3048988000.0,1096
6956005,2068162600.0,88
6525120,1618609300.0,520
6396203,1252890800.0,320
6295522,906574400.0,10
6244161,915700700.0,20
6085334,1047576800.0,36
6038701,1888507600.0,292
5878977,1141635100.0,260
5827161,1392054900.0,516
5348374,1644673300.0,84
5254838,870475900.0,18
5206905,1967602700.0,1098
4801976,856288300.0,288
4518164,1424665500.0,90
4516399,1207365900.0,336
4485265,1876773900.0,582
4424570,1158508200.0,274
4230084,547318140.0,6
4210851,545419260.0,24
4200116,1409221100.0,164
4199626,833284100.0,528
4190836,631184000.0,258
3985810,1092447900.0,196
3767267,1003203460.0,344
3721739,1129486100.0,276
3718685,779209600.0,1032
3683926,1312102500.0,644
3647529,1365617900.0,596
3638963,1222683800.0,598
3596319,1183857500.0,86
3549309,1206090800.0,586
3519399,968518340.0,346
3513720,1051703000.0,290
3463558,908572200.0,148
3419919,821053100.0,1088
3344492,711076200.0,136
3311959,1117792600.0,330
3311168,509157730.0,192
3300006,1140533800.0,1354
3247508,1028392260.0,592
3199815,913327200.0,578
3073799,456190530.0,514
3041963,817660000.0,82
3005247,704689540.0,858
2994770,1139239700.0,1352
2874850,707138500.0,280
2850617,485570980.0,160
2830454,426856540.0,34
2712296,361962620.0,640
2688293,581485250.0,145
2685006,627719900.0,600
2656164,298501600.0,5
2654050,798846100.0,1090
2654041,793310850.0,840
2637497,733091400.0,530
2615384,789147200.0,324
2594161,915925950.0,594
2582692,372403600.0,40
2557996,732806140.0,104
2467331,333447500.0,17
2414021,643114430.0,1370
2412294,761883200.0,548
2409615,531345700.0,208
2300089,274808600.0,768
2282478,709433400.0,585
2198469,422152320.0,856
2150638,629535800.0,1386
2149213,725973300.0,708
2137531,521083300.0,1288
2099800,546713000.0,602
2096010,341383500.0,96
2087438,439810400.0,266
2015239,575287200.0,322
1948468,517394270.0,212
1944570,328178200.0,544
1935650,393569570.0,133
1925374,575563500.0,296
1888966,511461570.0,338
1878454,253306180.0,1026
1874098,401943000.0,1114
1868916,453103400.0,282
1863101,233346720.0,129
1780496,206489490.0,1280
1765738,197645710.0,513
1759123,345623520.0,784
1748962,346627260.0,149
1694969,464144500.0,850
1677982,469949470.0,146
1605145,161368340.0,12
1603921,395769340.0,848
1583609,183430820.0,9
1579158,419684100.0,532
1574928,384985470.0,522
1572566,408687580.0,1106
1526698,371742200.0,854
1522067,249832910.0,2047
1495825,326299900.0,832
1487057,429596160.0,724
1480808,206284880.0,130
1479433,235005230.0,26
1477765,318030900.0,200
1476243,429382700.0,776
1435774,295524400.0,656
1410215,435994200.0,842
1379441,410712350.0,712
1374307,460061570.0,106
1349249,201528660.0,22
1345828,283980350.0,76
1340487,292903680.0,73
1290401,229319340.0,529
1282277,329428350.0,362
1266912,356989630.0,360
1222708,300561630.0,786
1217305,380642270.0,836
1212708,123511530.0,384
1205682,322450100.0,340
1198359,162259660.0,65
1173028,217520800.0,728
1147059,271749540.0,420
1136904,254557840.0,725
1124236,289230000.0,726
1105123,228070100.0,704
1097046,113598400.0,48
1081307,230727520.0,100
