Forte no.	Carter no.	Complement	prime_pcid	root_pcid	pcids	Possible spacings
0-1		12-1				Empty set
1-1		11-1	0	0	0	Unison, octave
2-1	1	10-1	1024	1	1,1024	Minor second, major seventh
2-2	2	10-2	512	2	2,512	Major second, minor seventh
2-3	3	10-3	256	4	4,256	Minor third, major sixth
2-4	4	10-4	128	8	8,128	Major third, minor sixth
2-5	5	10-5	64	16	16,64	Perfect fourth, perfect fifth
2-6	6	10-6	32	32	32	Augmented fourth, diminished fifth, tritone
3-1	4	9-1	1536	1536	3,1025,1536	
3-2A	12	9-2B	1280	1280	6,513,1280	
3-2B	12	9-2A	768	768	5,768,1026	
3-3A	11	9-3B	1152	1152	12,257,1152	
3-3B	11	9-3A	384	384	9,384,1028	
3-4A	9	9-4B	1088	129	24,129,1088	
3-4B	9	9-4A	192	192	17,192,1032	
3-5A	7	9-5B	1056	48	48,65,1056	Viennese trichord
3-5B	7	9-5A	96	1040	33,96,1040	Viennese trichord
3-6	3	9-6	640	640	10,514,640	
3-7A	10	9-7B	576	20	20,258,576	
3-7B	10	9-7A	320	18	18,320,516	Blues trichord (minor pentatonic subset)[8]
3-8A	8	9-8B	544	130	40,130,544	Italian sixth chord
3-8B	8	9-8A	160	160	34,160,520	
3-9	5	9-9	528	80	66,80,528	Suspended chord
3-10	2	9-10	288	288	36,260,288	Diminished chord
3-11A	6	9-11B	272	272	72,132,272	Minor chord, Neapolitan chord
3-11B	6	9-11A	144	144	68,144,264	Major chord
3-12	1	9-12	136	136	136	Augmented chord
4-1	1	8-1	1792	1792	7,1027,1537,1792	BACH motif
4-2A	17	8-2B	1664	1664	14,515,1281,1664	
4-2B	17	8-2A	896	896	11,896,1029,1538	
4-3	9	8-3	1408	1408	13,769,1030,1408	DSCH motif
4-4A	20	8-4B	1600	28	28,259,1153,1600	
4-4B	20	8-4A	448	448	19,448,1033,1540	Chromatic tetrachord
4-5A	22	8-5B	1568	131	56,131,1089,1568	
4-5B	22	8-5A	224	224	35,224,1041,1544	
4-6	6	8-6	1552	112	67,112,1057,1552	Dream chord
4-7	8	8-7	1216	1216	25,385,1036,1216	
4-8	10	8-8	1120	49	49,193,1048,1120	
4-9	2	8-9	1072	1072	97,1072	Distance model
4-10	3	8-10	832	22	22,517,832,1282	
4-11A	26	8-11B	1344	26	26,518,641,1344	
4-11B	26	8-11A	704	704	21,704,770,1034	Diatonic tetrachord
4-12A	28	8-12A	800	1154	44,261,800,1154	
4-12B	28	8-12B	416	416	38,416,521,1284	
4-13A	7	8-13B	1312	262	52,262,577,1312	
4-13B	7	8-13A	352	1042	37,352,772,1042	
4-14A	25	8-14A	784	784	88,133,784,1090	
4-14B	25	8-14B	208	208	70,208,529,1288	
4-Z15A	18	8-Z15B	1184	50	50,321,524,1184	All-interval tetrachord
4-Z15B	18	8-Z15A	608	386	41,386,608,1044	All-interval tetrachord
4-16A	19	8-16B	1104	1104	98,161,536,1104	Major seventh flat five chord
4-16B	19	8-16A	560	194	81,194,560,1064	
4-17	13	8-17	400	400	76,265,400,1156	Alpha chord
4-18A	21	8-18B	1168	1168	100,268,289,1168	Diminished major seventh chord
4-18B	21	8-18A	304	304	73,304,388,1060	
4-19A	24	8-19B	1160	273	140,200,273,1160	Minor major seventh chord
4-19B	24	8-19A	392	152	137,152,392,1092	Augmented major seventh chord
4-20	15	8-20	1096	145	145,196,280,1096	Major seventh chord, minor flat sixth chord
4-21	11	8-21	672	642	42,522,642,672	
4-22A	27	8-22B	656	656	84,266,578,656	Mu chord
4-22B	27	8-22A	336	336	74,336,530,644	
4-23	4	8-23	592	82	82,322,532,592	Quartal chord, seventh suspension four chord[9]
4-24	16	8-24	648	138	138,168,546,648	Augmented seventh chord
4-25	12	8-25	552	162	162,552	Dominant seventh flat five chord, French sixth chord
4-26	14	8-26	328	274	148,274,328,580	Minor seventh chord
4-27A	29	8-27B	584	276	164,276,290,584	Half-diminished seventh chord, minor sixth chord, Tristan chord
4-27B	29	8-27A	296	146	146,296,324,548	Dominant seventh chord, German sixth chord, harmonic seventh chord
4-28	5	8-28	292	292	292	Diminished seventh chord
4-Z29A	23	8-Z29B	1296	134	104,134,545,1296	All-interval tetrachord
4-Z29B	23	8-Z29A	176	176	69,176,776,1058	All-interval tetrachord
5-1		7-1	1920	1920	15,1031,1539,1793,1920	
5-2A		7-2B	1856	1856	30,519,1283,1665,1856	
5-2B		7-2A	960	960	23,960,1035,1541,1794	
5-3A		7-3B	1728	1728	29,771,1038,1409,1728	
5-3B		7-3A	1472	1472	27,897,1037,1472,1542	
5-4A		7-4B	1824	1155	60,263,1155,1601,1824	
5-4B		7-4A	480	1796	39,480,1043,1545,1796	
5-5A		7-5B	1808	1808	120,135,1091,1569,1808	
5-5B		7-5A	240	240	71,240,1059,1553,1800	
5-6A		7-6B	1632	1217	57,387,1052,1217,1632	
5-6B		7-6A	1248	1248	51,449,1049,1248,1548	
5-7A		7-7B	1584	113	113,195,1080,1121,1584	
5-7B		7-7A	1136	1136	99,225,1073,1136,1560	
5-8		7-8	928	1666	46,523,928,1285,1666	
5-9A		7-9B	1696	643	58,526,643,1345,1696	
5-9B		7-9A	736	898	43,736,898,1045,1546	
5-10A		7-10B	1440	1440	54,525,833,1286,1440	
5-10B		7-10A	864	1410	45,773,864,1046,1410	
5-11A		7-11A	912	912	92,267,912,1157,1602	
5-11B		7-11B	464	464	78,464,531,1289,1668	
5-Z12		7-Z12	1376	705	53,705,774,1050,1376	
5-13A		7-13B	1672	142	142,232,547,1297,1672	
5-13B		7-13A	904	184	139,184,904,1093,1570	
5-14A		7-14B	1616	1616	114,323,540,1185,1616	
5-14B		7-14A	624	450	83,450,624,1065,1556	
5-15		7-15	1576	1105	163,226,568,1105,1576	
5-16A		7-16B	1424	1158	108,269,801,1158,1424	
5-16B		7-16A	432	432	77,432,777,1062,1412	
5-Z17		7-Z17	1416	216	141,216,785,1094,1416	Farben chord, minor major ninth chord
5-Z18A		7-Z18B	1232	1232	102,417,537,1232,1292	
5-Z18B		7-Z18A	816	816	89,389,816,1068,1218	
5-19A		7-19B	1328	390	105,390,609,1076,1328	
5-19B		7-19A	1200	1200	101,353,780,1074,1200	
5-20A		7-20B	1128	209	198,209,561,1128,1304	Ryukyu scale
5-20B		7-20A	792	177	177,197,792,1112,1122	Hirajōshi scale, in scale, iwato scale
5-21A		7-21B	1224	401	204,281,401,1164,1224	
5-21B		7-21A	408	153	153,393,408,1100,1220	
5-22		7-22	1176	1176	201,305,396,1124,1176	
5-23A		7-23B	848	848	90,534,645,848,1346	
5-23B		7-23A	720	720	86,533,720,834,1290	
5-24A		7-24B	1360	646	106,538,646,673,1360	
5-24B		7-24A	688	688	85,688,706,778,1066	
5-25A		7-25B	840	180	180,278,581,840,1314	Half-diminished minor ninth chord
5-25B		7-25A	360	150	150,360,549,836,1298	Seven six chord
5-26A		7-26A	712	1162	172,277,712,802,1162	Half-diminished ninth chord
5-26B		7-26B	424	154	154,424,550,649,1348	Augmented major ninth chord
5-27A		7-27B	1352	657	212,282,582,657,1352	Major ninth chord
5-27B		7-27A	344	786	149,344,708,786,1098	Minor ninth chord
5-28A		7-28A	808	178	178,325,556,808,1186	
5-28B		7-28B	616	418	166,418,553,616,1300	
5-29A		7-29B	1320	210	210,326,564,593,1320	
5-29B		7-29A	600	1106	165,354,600,788,1106	Insen scale, minor sixth ninth chord
5-30A		7-30B	1192	202	202,337,562,652,1192	
5-30B		7-30A	664	664	169,394,610,664,1108	Jazz sus chord, Lydian augmented chord
5-31A		7-31B	1316	585	294,308,420,585,1316	Beta chord, diminished minor ninth chord
5-31B		7-31A	804	1170	293,300,356,804,1170	Diminished ninth chord, dominant minor ninth chord
5-32A		7-32B	1188	404	306,329,404,588,1188	Dominant seventh sharp ninth chord
5-32B		7-32A	612	402	297,332,402,612,1172	Elektra chord, gamma chord
5-33		7-33	680	674	170,554,650,674,680	Augmented dominant ninth chord, ninth augmented fifth chord,[10] ninth flat fifth chord[10]
5-34		7-34	676	658	298,340,586,658,676	Dominant ninth chord
5-35		7-35	660	338	330,338,594,596,660	Major pentatonic scale
5-Z36A		7-Z36B	1680	1680	116,270,579,1313,1680	
5-Z36B		7-Z36A	368	368	75,368,900,1061,1554	
5-Z37		7-Z37	456	156	156,275,456,1161,1604	
5-Z38A		7-Z38B	1608	1169	228,284,291,1169,1608	
5-Z38B		7-Z38A	312	147	147,312,452,1097,1572	
6-1	4	6-1	1984	1984	31,1039,1543,1795,1921,1984	Chromatic hexachord
6-2A	19	6-2B	1952	1952	62,527,1287,1667,1857,1952	
6-2B	19	6-2A	992	1922	47,992,1047,1547,1797,1922	
6-Z3A	49	6-Z36B	1888	775	61,775,1054,1411,1729,1888	
6-Z3B	49	6-Z36A	1504	1504	55,961,1051,1504,1549,1798	
6-Z4	24	6-Z37	1760	1760	59,899,1053,1473,1550,1760	
6-5A	16	6-5B	1840	1219	121,391,1084,1219,1633,1840	
6-5B	16	6-5A	1264	1264	103,481,1075,1264,1561,1804	
6-Z6	33	6-Z38	1648	1648	115,451,1081,1249,1564,1648	
6-7	7	6-7	1592	1592	227,1137,1592	Two-semitone tritone scale
6-8	5	6-8	976	976	94,535,976,1291,1669,1858	
6-9A	20	6-9B	1872	1872	122,542,647,1347,1697,1872	
6-9B	20	6-9A	752	752	87,752,962,1067,1557,1802	
6-Z10A	42	6-Z39A	1488	1670	110,539,929,1293,1488,1670	
6-Z10B	42	6-Z39B	944	944	93,779,944,1070,1413,1730	
6-Z11A	47	6-Z40B	1744	1744	118,541,835,1294,1441,1744	
